"","date","county_code","N","N_prev"
"1","06.03.2020","county03",1,1
"2","07.03.2020","county03",0,1
"3","08.03.2020","county03",0,1
"4","09.03.2020","county03",0,1
"5","10.03.2020","county03",0,1
"6","11.03.2020","county03",1,2
"7","12.03.2020","county03",0,1
"8","13.03.2020","county03",0,1
"9","14.03.2020","county03",0,0
"10","15.03.2020","county03",0,0
"11","16.03.2020","county03",2,2
"12","17.03.2020","county03",0,2
"13","18.03.2020","county03",5,7
"14","19.03.2020","county03",7,14
"15","20.03.2020","county03",4,17
"16","21.03.2020","county03",8,25
"17","22.03.2020","county03",7,29
"18","23.03.2020","county03",10,34
"19","24.03.2020","county03",15,40
"20","25.03.2020","county03",15,53
"21","26.03.2020","county03",12,61
"22","27.03.2020","county03",10,62
"23","28.03.2020","county03",10,70
"24","29.03.2020","county03",5,72
"25","30.03.2020","county03",10,67
"26","31.03.2020","county03",9,63
"27","01.04.2020","county03",10,64
"28","02.04.2020","county03",12,72
"29","03.04.2020","county03",10,77
"30","04.04.2020","county03",10,80
"31","05.04.2020","county03",6,81
"32","06.04.2020","county03",5,63
"33","07.04.2020","county03",3,56
"34","08.04.2020","county03",9,59
"35","09.04.2020","county03",5,59
"36","10.04.2020","county03",2,53
"37","11.04.2020","county03",7,55
"38","12.04.2020","county03",2,46
"39","13.04.2020","county03",6,49
"40","14.04.2020","county03",4,47
"41","15.04.2020","county03",5,41
"42","16.04.2020","county03",1,38
"43","17.04.2020","county03",4,38
"44","18.04.2020","county03",1,36
"45","19.04.2020","county03",3,38
"46","20.04.2020","county03",2,34
"47","21.04.2020","county03",1,31
"48","22.04.2020","county03",0,29
"49","23.04.2020","county03",2,28
"50","24.04.2020","county03",5,31
"51","25.04.2020","county03",0,33
"52","26.04.2020","county03",3,37
"53","27.04.2020","county03",1,38
"54","28.04.2020","county03",3,39
"55","29.04.2020","county03",0,30
"56","30.04.2020","county03",2,21
"57","01.05.2020","county03",1,21
"58","02.05.2020","county03",1,22
"59","03.05.2020","county03",0,20
"60","04.05.2020","county03",0,17
"61","05.05.2020","county03",1,15
"62","06.05.2020","county03",1,15
"63","07.05.2020","county03",0,14
"64","08.05.2020","county03",1,12
"65","09.05.2020","county03",0,11
"66","10.05.2020","county03",1,12
"67","11.05.2020","county03",0,12
"68","12.05.2020","county03",0,12
"69","13.05.2020","county03",1,13
"70","14.05.2020","county03",1,13
"71","15.05.2020","county03",0,12
"72","16.05.2020","county03",0,12
"73","17.05.2020","county03",0,12
"74","18.05.2020","county03",2,14
"75","19.05.2020","county03",0,14
"76","20.05.2020","county03",0,13
"77","21.05.2020","county03",1,13
"78","22.05.2020","county03",0,11
"79","23.05.2020","county03",0,11
"80","24.05.2020","county03",0,11
"81","25.05.2020","county03",0,10
"82","26.05.2020","county03",0,8
"83","27.05.2020","county03",0,7
"84","28.05.2020","county03",1,7
"85","29.05.2020","county03",0,6
"86","30.05.2020","county03",0,7
"87","31.05.2020","county03",1,8
"88","01.06.2020","county03",1,9
"89","02.06.2020","county03",0,9
"90","03.06.2020","county03",0,8
"91","04.06.2020","county03",0,7
"92","05.06.2020","county03",1,7
"93","06.06.2020","county03",0,7
"94","07.06.2020","county03",0,6
"95","08.06.2020","county03",0,5
"96","09.06.2020","county03",1,5
"97","10.06.2020","county03",1,5
"98","11.06.2020","county03",2,7
"99","12.06.2020","county03",1,8
"100","13.06.2020","county03",0,8
"101","14.06.2020","county03",0,8
"102","15.06.2020","county03",1,9
"103","16.06.2020","county03",0,8
"104","17.06.2020","county03",0,7
"105","18.06.2020","county03",0,7
"106","19.06.2020","county03",1,8
"107","20.06.2020","county03",0,8
"108","21.06.2020","county03",0,6
"109","22.06.2020","county03",1,7
"110","23.06.2020","county03",0,7
"111","24.06.2020","county03",1,8
"112","25.06.2020","county03",1,8
"113","26.06.2020","county03",0,6
"114","27.06.2020","county03",0,5
"115","28.06.2020","county03",2,7
"116","29.06.2020","county03",0,7
"117","30.06.2020","county03",0,7
"118","01.07.2020","county03",0,5
"119","02.07.2020","county03",1,4
"120","03.07.2020","county03",0,3
"121","04.07.2020","county03",0,2
"122","05.07.2020","county03",0,2
"123","06.07.2020","county03",0,1
"124","07.07.2020","county03",0,1
"125","08.07.2020","county03",0,1
"126","09.07.2020","county03",0,1
"127","10.07.2020","county03",0,1
"128","11.07.2020","county03",1,2
"129","12.07.2020","county03",0,2
"130","13.07.2020","county03",0,2
"131","14.07.2020","county03",0,2
"132","15.07.2020","county03",0,2
"133","16.07.2020","county03",2,4
"134","17.07.2020","county03",0,4
"135","18.07.2020","county03",0,4
"136","19.07.2020","county03",0,3
"137","20.07.2020","county03",0,3
"138","21.07.2020","county03",0,2
"139","22.07.2020","county03",0,1
"140","23.07.2020","county03",0,1
"141","24.07.2020","county03",1,3
"142","25.07.2020","county03",0,3
"143","26.07.2020","county03",0,3
"144","27.07.2020","county03",0,3
"145","28.07.2020","county03",0,3
"146","29.07.2020","county03",0,3
"147","30.07.2020","county03",0,2
"148","31.07.2020","county03",0,2
"149","01.08.2020","county03",0,2
"150","02.08.2020","county03",0,2
"151","03.08.2020","county03",0,2
"152","04.08.2020","county03",0,1
"153","05.08.2020","county03",0,1
"154","06.08.2020","county03",0,1
"155","07.08.2020","county03",0,1
"156","08.08.2020","county03",0,1
"157","09.08.2020","county03",1,2
"158","10.08.2020","county03",0,2
"159","11.08.2020","county03",0,2
"160","12.08.2020","county03",0,2
"161","13.08.2020","county03",0,2
"162","14.08.2020","county03",1,3
"163","15.08.2020","county03",1,4
"164","16.08.2020","county03",0,4
"165","17.08.2020","county03",1,3
"166","18.08.2020","county03",0,2
"167","19.08.2020","county03",0,2
"168","20.08.2020","county03",0,2
"169","21.08.2020","county03",1,3
"170","22.08.2020","county03",1,4
"171","23.08.2020","county03",0,4
"172","24.08.2020","county03",0,3
"173","25.08.2020","county03",0,3
"174","26.08.2020","county03",1,3
"175","27.08.2020","county03",1,3
"176","28.08.2020","county03",0,2
"177","29.08.2020","county03",0,2
"178","30.08.2020","county03",0,2
"179","31.08.2020","county03",0,1
"180","01.09.2020","county03",0,1
"181","02.09.2020","county03",1,2
"182","03.09.2020","county03",1,3
"183","04.09.2020","county03",0,3
"184","05.09.2020","county03",0,3
"185","06.09.2020","county03",2,3
"186","07.09.2020","county03",2,5
"187","08.09.2020","county03",2,7
"188","09.09.2020","county03",0,6
"189","10.09.2020","county03",2,8
"190","11.09.2020","county03",0,8
"191","12.09.2020","county03",0,7
"192","13.09.2020","county03",0,5
"193","14.09.2020","county03",3,6
"194","15.09.2020","county03",0,5
"195","16.09.2020","county03",3,7
"196","17.09.2020","county03",0,6
"197","18.09.2020","county03",0,4
"198","19.09.2020","county03",2,6
"199","20.09.2020","county03",1,6
"200","21.09.2020","county03",3,9
"201","22.09.2020","county03",0,8
"202","23.09.2020","county03",1,7
"203","24.09.2020","county03",0,5
"204","25.09.2020","county03",0,5
"205","26.09.2020","county03",0,5
"206","27.09.2020","county03",1,7
"207","28.09.2020","county03",2,8
"208","29.09.2020","county03",1,9
"209","30.09.2020","county03",0,7
"210","01.10.2020","county03",2,9
"211","02.10.2020","county03",1,9
"212","03.10.2020","county03",0,10
"213","04.10.2020","county03",0,10
"214","05.10.2020","county03",0,9
"215","06.10.2020","county03",0,9
"216","07.10.2020","county03",0,8
"217","08.10.2020","county03",2,8
"218","09.10.2020","county03",3,11
"219","10.10.2020","county03",1,12
"220","11.10.2020","county03",1,12
"221","12.10.2020","county03",2,7
"222","13.10.2020","county03",1,7
"223","14.10.2020","county03",0,6
"224","15.10.2020","county03",1,8
"225","16.10.2020","county03",1,6
"226","17.10.2020","county03",2,8
"227","18.10.2020","county03",2,10
"228","19.10.2020","county03",0,9
"229","20.10.2020","county03",2,11
"230","21.10.2020","county03",0,10
"231","22.10.2020","county03",2,11
"232","23.10.2020","county03",1,8
"233","24.10.2020","county03",4,12
"234","25.10.2020","county03",0,12
"235","26.10.2020","county03",4,15
"236","27.10.2020","county03",0,11
"237","28.10.2020","county03",2,11
"238","29.10.2020","county03",4,14
"239","30.10.2020","county03",3,14
"240","31.10.2020","county03",1,14
"241","01.11.2020","county03",2,16
"242","02.11.2020","county03",4,17
"243","03.11.2020","county03",4,17
"244","04.11.2020","county03",3,17
"245","05.11.2020","county03",3,19
"246","06.11.2020","county03",7,20
"247","07.11.2020","county03",4,24
"248","08.11.2020","county03",4,23
"249","09.11.2020","county03",5,22
"250","10.11.2020","county03",6,25
"251","11.11.2020","county03",5,28
"252","12.11.2020","county03",8,32
"253","13.11.2020","county03",8,36
"254","14.11.2020","county03",3,38
"255","15.11.2020","county03",3,37
"256","16.11.2020","county03",10,44
"257","17.11.2020","county03",9,48
"258","18.11.2020","county03",3,43
"259","19.11.2020","county03",5,42
"260","20.11.2020","county03",4,36
"261","21.11.2020","county03",5,39
"262","22.11.2020","county03",9,47
"263","23.11.2020","county03",4,42
"264","24.11.2020","county03",2,35
"265","25.11.2020","county03",10,41
"266","26.11.2020","county03",3,36
"267","27.11.2020","county03",2,33
"268","28.11.2020","county03",3,35
"269","29.11.2020","county03",3,35
"270","30.11.2020","county03",4,37
"271","01.12.2020","county03",6,39
"272","02.12.2020","county03",0,33
"273","03.12.2020","county03",4,36
"274","04.12.2020","county03",8,41
"275","05.12.2020","county03",1,41
"276","06.12.2020","county03",5,46
"277","07.12.2020","county03",6,44
"278","08.12.2020","county03",6,41
"279","09.12.2020","county03",0,37
"280","10.12.2020","county03",2,34
"281","11.12.2020","county03",0,27
"282","12.12.2020","county03",5,31
"283","13.12.2020","county03",6,36
"284","14.12.2020","county03",2,36
"285","15.12.2020","county03",6,36
"286","16.12.2020","county03",0,32
"287","17.12.2020","county03",3,33
"288","18.12.2020","county03",7,35
"289","19.12.2020","county03",3,35
"290","20.12.2020","county03",2,36
"291","21.12.2020","county03",2,32
"292","22.12.2020","county03",0,27
"293","23.12.2020","county03",4,30
"294","24.12.2020","county03",2,29
"295","25.12.2020","county03",5,34
"296","26.12.2020","county03",0,32
"297","27.12.2020","county03",4,35
"298","28.12.2020","county03",5,32
"299","29.12.2020","county03",3,26
"300","30.12.2020","county03",0,17
"301","31.12.2020","county03",3,16
"302","01.01.2021","county03",5,20
"303","02.01.2021","county03",4,23
"304","03.01.2021","county03",1,24
"305","04.01.2021","county03",3,24
"306","05.01.2021","county03",3,23
"307","06.01.2021","county03",2,18
"308","07.01.2021","county03",6,23
"309","08.01.2021","county03",4,18
"310","09.01.2021","county03",4,25
"311","10.01.2021","county03",3,27
"312","11.01.2021","county03",3,27
"313","12.01.2021","county03",4,29
"314","13.01.2021","county03",4,30
"315","14.01.2021","county03",2,26
"316","15.01.2021","county03",3,27
"317","16.01.2021","county03",2,29
"318","17.01.2021","county03",1,27
"319","18.01.2021","county03",1,23
"320","19.01.2021","county03",1,21
"321","20.01.2021","county03",5,21
"322","21.01.2021","county03",5,22
"323","22.01.2021","county03",8,30
"324","23.01.2021","county03",1,26
"325","24.01.2021","county03",5,30
"326","25.01.2021","county03",0,24
"327","26.01.2021","county03",4,25
"328","27.01.2021","county03",1,19
"329","28.01.2021","county03",1,16
"330","29.01.2021","county03",8,22
"331","30.01.2021","county03",1,23
"332","31.01.2021","county03",4,26
"333","01.02.2021","county03",1,20
"334","02.02.2021","county03",1,21
"335","03.02.2021","county03",0,18
"336","04.02.2021","county03",0,14
"337","05.02.2021","county03",1,11
"338","06.02.2021","county03",2,12
"339","07.02.2021","county03",1,12
"340","08.02.2021","county03",1,12
"341","09.02.2021","county03",0,9
"342","10.02.2021","county03",1,10
"343","11.02.2021","county03",0,9
"344","12.02.2021","county03",2,9
"345","13.02.2021","county03",5,14
"346","14.02.2021","county03",2,16
"347","15.02.2021","county03",0,13
"348","16.02.2021","county03",0,10
"349","17.02.2021","county03",3,12
"350","18.02.2021","county03",3,15
"351","19.02.2021","county03",5,18
"352","20.02.2021","county03",3,18
"353","21.02.2021","county03",8,23
"354","22.02.2021","county03",2,22
"355","23.02.2021","county03",4,25
"356","24.02.2021","county03",4,24
"357","25.02.2021","county03",3,25
"358","26.02.2021","county03",3,24
"359","27.02.2021","county03",2,26
"360","28.02.2021","county03",4,28
"361","01.03.2021","county03",4,25
"362","02.03.2021","county03",4,23
"363","03.03.2021","county03",7,29
"364","04.03.2021","county03",5,34
"365","05.03.2021","county03",3,33
"366","06.03.2021","county03",5,37
"367","07.03.2021","county03",5,38
"368","08.03.2021","county03",11,43
"369","09.03.2021","county03",7,48
"370","10.03.2021","county03",6,46
"371","11.03.2021","county03",11,49
"372","12.03.2021","county03",10,56
"373","13.03.2021","county03",12,63
"374","14.03.2021","county03",9,69
"375","15.03.2021","county03",10,66
"376","16.03.2021","county03",6,64
"377","17.03.2021","county03",16,73
"378","18.03.2021","county03",18,80
"379","19.03.2021","county03",9,74
"380","20.03.2021","county03",12,80
"381","21.03.2021","county03",12,84
"382","22.03.2021","county03",11,85
"383","23.03.2021","county03",11,86
"384","24.03.2021","county03",6,80
"385","25.03.2021","county03",11,86
"386","26.03.2021","county03",10,87
"387","27.03.2021","county03",9,88
"388","28.03.2021","county03",11,98
"389","29.03.2021","county03",18,106
"390","30.03.2021","county03",13,103
"391","31.03.2021","county03",11,102
"392","01.04.2021","county03",8,97
"393","02.04.2021","county03",18,103
"394","03.04.2021","county03",9,96
"395","04.04.2021","county03",9,94
"396","05.04.2021","county03",5,91
"397","06.04.2021","county03",10,96
"398","07.04.2021","county03",5,87
"399","08.04.2021","county03",10,87
"400","09.04.2021","county03",12,85
"401","10.04.2021","county03",5,79
"402","11.04.2021","county03",9,88
"403","12.04.2021","county03",7,82
"404","13.04.2021","county03",10,79
"405","14.04.2021","county03",5,74
"406","15.04.2021","county03",7,69
"407","16.04.2021","county03",6,66
"408","17.04.2021","county03",4,66
"409","18.04.2021","county03",5,65
"410","19.04.2021","county03",7,60
"411","20.04.2021","county03",7,59
"412","21.04.2021","county03",3,53
"413","22.04.2021","county03",7,56
"414","23.04.2021","county03",4,53
"415","24.04.2021","county03",5,56
"416","25.04.2021","county03",5,57
"417","26.04.2021","county03",5,55
"418","27.04.2021","county03",3,50
"419","28.04.2021","county03",1,44
"420","29.04.2021","county03",4,45
"421","30.04.2021","county03",1,44
"422","01.05.2021","county03",2,45
"423","02.05.2021","county03",2,45
"424","03.05.2021","county03",3,42
"425","04.05.2021","county03",1,34
"426","05.05.2021","county03",4,33
"427","06.05.2021","county03",2,32
"428","07.05.2021","county03",2,29
"429","08.05.2021","county03",1,30
"430","09.05.2021","county03",0,29
"431","10.05.2021","county03",2,28
"432","11.05.2021","county03",4,30
"433","12.05.2021","county03",4,27
"434","13.05.2021","county03",4,28
"435","14.05.2021","county03",1,27
"436","15.05.2021","county03",2,26
"437","16.05.2021","county03",2,26
"438","17.05.2021","county03",1,27
"439","18.05.2021","county03",2,25
"440","19.05.2021","county03",0,21
"441","20.05.2021","county03",0,19
"442","21.05.2021","county03",0,15
"443","22.05.2021","county03",4,20
"444","23.05.2021","county03",1,21
"445","24.05.2021","county03",4,25
"446","25.05.2021","county03",0,22
"447","26.05.2021","county03",0,17
"448","27.05.2021","county03",0,15
"449","28.05.2021","county03",0,15
"450","29.05.2021","county03",1,16
"451","30.05.2021","county03",1,17
"452","31.05.2021","county03",1,13
"453","01.06.2021","county03",0,12
"454","02.06.2021","county03",0,11
"455","03.06.2021","county03",0,11
"456","04.06.2021","county03",1,12
"457","05.06.2021","county03",0,12
"458","06.06.2021","county03",1,12
"459","07.06.2021","county03",0,9
"460","08.06.2021","county03",0,8
"461","09.06.2021","county03",0,8
"462","10.06.2021","county03",0,7
"463","11.06.2021","county03",0,6
"464","12.06.2021","county03",0,5
"465","13.06.2021","county03",0,5
"466","14.06.2021","county03",1,5
"467","15.06.2021","county03",1,6
"468","16.06.2021","county03",0,6
"469","17.06.2021","county03",1,7
"470","18.06.2021","county03",1,7
"471","19.06.2021","county03",1,7
"472","20.06.2021","county03",0,6
"473","21.06.2021","county03",1,6
"474","22.06.2021","county03",1,7
"475","23.06.2021","county03",0,7
"476","24.06.2021","county03",0,5
"477","25.06.2021","county03",0,4
"478","26.06.2021","county03",0,4
"479","27.06.2021","county03",0,4
"480","28.06.2021","county03",0,4
"481","29.06.2021","county03",0,4
"482","30.06.2021","county03",0,4
"483","01.07.2021","county03",1,5
"484","02.07.2021","county03",2,5
"485","03.07.2021","county03",0,4
"486","04.07.2021","county03",1,4
"487","05.07.2021","county03",0,3
"488","06.07.2021","county03",0,3
"489","07.07.2021","county03",0,1
"490","08.07.2021","county03",2,3
"491","09.07.2021","county03",0,3
"492","10.07.2021","county03",0,3
"493","11.07.2021","county03",0,3
"494","12.07.2021","county03",0,2
"495","13.07.2021","county03",0,2
"496","14.07.2021","county03",0,1
"497","15.07.2021","county03",0,1
"498","16.07.2021","county03",1,2
"499","17.07.2021","county03",0,1
"500","18.07.2021","county03",0,1
"501","19.07.2021","county03",0,1
"502","20.07.2021","county03",0,1
"503","21.07.2021","county03",0,1
"504","22.07.2021","county03",0,1
"505","23.07.2021","county03",0,0
"506","24.07.2021","county03",0,0
"507","25.07.2021","county03",0,0
"508","26.07.2021","county03",1,1
"509","27.07.2021","county03",0,1
"510","28.07.2021","county03",0,1
"511","29.07.2021","county03",0,1
"512","30.07.2021","county03",0,1
"513","31.07.2021","county03",0,1
"514","01.08.2021","county03",0,1
"515","02.08.2021","county03",0,0
"516","03.08.2021","county03",0,0
"517","04.08.2021","county03",1,1
"518","05.08.2021","county03",0,0
"519","06.08.2021","county03",1,1
"520","07.08.2021","county03",0,0
"521","08.08.2021","county03",0,0
"522","09.08.2021","county03",0,0
"523","10.08.2021","county03",0,0
"524","11.08.2021","county03",0,0
"525","12.08.2021","county03",1,1
"526","13.08.2021","county03",0,1
"527","14.08.2021","county03",0,1
"528","15.08.2021","county03",0,1
"529","16.08.2021","county03",1,1
"530","17.08.2021","county03",1,1
"531","18.08.2021","county03",0,1
"532","19.08.2021","county03",1,2
"533","20.08.2021","county03",0,0
"534","21.08.2021","county03",1,1
"535","22.08.2021","county03",2,3
"536","23.08.2021","county03",1,3
"537","24.08.2021","county03",1,3
"538","25.08.2021","county03",2,5
"539","26.08.2021","county03",2,5
"540","27.08.2021","county03",2,7
"541","28.08.2021","county03",1,7
"542","29.08.2021","county03",7,12
"543","30.08.2021","county03",5,12
"544","31.08.2021","county03",5,14
"545","01.09.2021","county03",1,11
"546","02.09.2021","county03",1,10
"547","03.09.2021","county03",2,10
"548","04.09.2021","county03",2,10
"549","05.09.2021","county03",2,12
"550","06.09.2021","county03",3,13
"551","07.09.2021","county03",4,14
"552","08.09.2021","county03",4,12
"553","09.09.2021","county03",6,20
"554","10.09.2021","county03",3,21
"555","11.09.2021","county03",4,20
"556","12.09.2021","county03",6,26
"557","13.09.2021","county03",2,22
"558","14.09.2021","county03",4,23
"559","15.09.2021","county03",5,27
"560","16.09.2021","county03",1,24
"561","17.09.2021","county03",4,23
"562","18.09.2021","county03",4,25
"563","19.09.2021","county03",3,27
"564","20.09.2021","county03",5,27
"565","21.09.2021","county03",1,24
"566","22.09.2021","county03",2,25
"567","23.09.2021","county03",1,22
"568","24.09.2021","county03",2,21
"569","25.09.2021","county03",0,20
"570","26.09.2021","county03",2,21
"571","27.09.2021","county03",4,19
"572","28.09.2021","county03",6,24
"573","29.09.2021","county03",2,25
"574","30.09.2021","county03",3,26
"575","01.10.2021","county03",1,21
"576","02.10.2021","county03",1,20
"577","03.10.2021","county03",3,23
"578","04.10.2021","county03",3,21
"579","05.10.2021","county03",6,23
"580","06.10.2021","county03",5,23
"581","07.10.2021","county03",1,22
"582","08.10.2021","county03",3,23
"583","09.10.2021","county03",3,25
"584","10.10.2021","county03",0,24
"585","11.10.2021","county03",4,24
"586","12.10.2021","county03",1,21
"587","13.10.2021","county03",1,18
"588","14.10.2021","county03",2,16
"589","15.10.2021","county03",1,16
"590","16.10.2021","county03",1,17
"591","17.10.2021","county03",0,17
"592","18.10.2021","county03",6,21
"593","19.10.2021","county03",5,25
"594","20.10.2021","county03",3,24
"595","21.10.2021","county03",2,23
"596","22.10.2021","county03",0,17
"597","23.10.2021","county03",1,16
"598","24.10.2021","county03",0,17
"599","25.10.2021","county03",1,17
"600","26.10.2021","county03",2,15
"601","27.10.2021","county03",5,19
"602","28.10.2021","county03",5,22
"603","29.10.2021","county03",0,15
"604","30.10.2021","county03",2,16
"605","31.10.2021","county03",1,17
"606","01.11.2021","county03",4,16
"607","02.11.2021","county03",3,18
"608","03.11.2021","county03",1,15
"609","04.11.2021","county03",3,16
"610","05.11.2021","county03",0,15
"611","06.11.2021","county03",2,16
"612","07.11.2021","county03",2,18
"613","08.11.2021","county03",1,18
"614","09.11.2021","county03",4,22
"615","10.11.2021","county03",1,19
"616","11.11.2021","county03",4,22
"617","12.11.2021","county03",1,19
"618","13.11.2021","county03",4,23
"619","14.11.2021","county03",3,23
"620","15.11.2021","county03",6,25
"621","16.11.2021","county03",4,25
"622","17.11.2021","county03",3,25
"623","18.11.2021","county03",3,22
"624","19.11.2021","county03",4,20
"625","20.11.2021","county03",0,17
"626","21.11.2021","county03",4,21
"627","22.11.2021","county03",4,23
"628","23.11.2021","county03",3,25
"629","24.11.2021","county03",5,28
"630","25.11.2021","county03",3,25
"631","26.11.2021","county03",3,20
"632","27.11.2021","county03",1,21
"633","28.11.2021","county03",7,27
"634","29.11.2021","county03",2,23
"635","30.11.2021","county03",8,28
"636","01.12.2021","county03",2,24
"637","02.12.2021","county03",3,23
"638","03.12.2021","county03",4,21
"639","04.12.2021","county03",1,22
"640","05.12.2021","county03",5,28
"641","06.12.2021","county03",8,32
"642","07.12.2021","county03",2,31
"643","08.12.2021","county03",10,38
"644","09.12.2021","county03",2,37
"645","10.12.2021","county03",8,36
"646","11.12.2021","county03",3,35
"647","12.12.2021","county03",6,38
"648","13.12.2021","county03",10,39
"649","14.12.2021","county03",10,46
"650","15.12.2021","county03",5,42
"651","16.12.2021","county03",7,47
"652","17.12.2021","county03",3,45
"653","18.12.2021","county03",3,46
"654","19.12.2021","county03",4,50
"655","20.12.2021","county03",3,50
"656","21.12.2021","county03",2,45
"657","22.12.2021","county03",1,41
"658","23.12.2021","county03",3,41
"659","24.12.2021","county03",2,36
"660","25.12.2021","county03",7,41
"661","26.12.2021","county03",4,42
"662","27.12.2021","county03",3,38
"663","28.12.2021","county03",4,37
"664","29.12.2021","county03",5,37
"665","30.12.2021","county03",5,40
"666","31.12.2021","county03",2,40
"667","01.01.2022","county03",3,41
"668","02.01.2022","county03",5,42
"669","03.01.2022","county03",5,39
"670","04.01.2022","county03",2,39
"671","05.01.2022","county03",4,38
"672","06.01.2022","county03",4,37
"673","07.01.2022","county03",3,28
"674","08.01.2022","county03",3,31
"675","09.01.2022","county03",4,33
"676","10.01.2022","county03",4,33
"677","11.01.2022","county03",3,29
"678","12.01.2022","county03",2,26
"679","13.01.2022","county03",3,26
"680","14.01.2022","county03",4,29
"681","15.01.2022","county03",6,34
"682","16.01.2022","county03",1,32
"683","17.01.2022","county03",4,34
"684","18.01.2022","county03",4,36
"685","19.01.2022","county03",6,34
"686","20.01.2022","county03",5,33
"687","21.01.2022","county03",0,30
"688","22.01.2022","county03",1,28
"689","23.01.2022","county03",2,30
"690","24.01.2022","county03",5,29
"691","25.01.2022","county03",6,30
"692","26.01.2022","county03",2,29
"693","27.01.2022","county03",5,29
"694","28.01.2022","county03",2,26
"695","29.01.2022","county03",3,25
"696","30.01.2022","county03",3,28
"697","31.01.2022","county03",4,27
"698","01.02.2022","county03",4,26
"699","02.02.2022","county03",1,25
"700","03.02.2022","county03",4,26
"701","04.02.2022","county03",4,25
"702","05.02.2022","county03",3,26
"703","06.02.2022","county03",3,29
"704","07.02.2022","county03",1,25
"705","08.02.2022","county03",6,26
"706","09.02.2022","county03",2,27
"707","10.02.2022","county03",6,28
"708","11.02.2022","county03",3,22
"709","12.02.2022","county03",2,24
"710","13.02.2022","county03",8,28
"711","14.02.2022","county03",6,27
"712","15.02.2022","county03",6,28
"713","16.02.2022","county03",4,22
"714","17.02.2022","county03",10,27
"715","18.02.2022","county03",7,28
"716","19.02.2022","county03",9,36
"717","20.02.2022","county03",4,38
"718","21.02.2022","county03",8,40
"719","22.02.2022","county03",8,36
"720","23.02.2022","county03",8,36
"721","24.02.2022","county03",12,41
"722","25.02.2022","county03",6,38
"723","26.02.2022","county03",9,43
"724","27.02.2022","county03",10,51
"725","28.02.2022","county03",8,46
"726","01.03.2022","county03",11,44
"727","02.03.2022","county03",6,35
"728","03.03.2022","county03",6,38
"729","04.03.2022","county03",9,40
"730","05.03.2022","county03",2,39
"731","06.03.2022","county03",7,46
"732","07.03.2022","county03",14,51
"733","08.03.2022","county03",9,51
"734","09.03.2022","county03",8,50
"735","10.03.2022","county03",11,52
"736","11.03.2022","county03",7,43
"737","12.03.2022","county03",5,48
"738","13.03.2022","county03",9,53
"739","14.03.2022","county03",3,51
"740","15.03.2022","county03",5,44
"741","16.03.2022","county03",11,49
"742","17.03.2022","county03",8,52
"743","18.03.2022","county03",6,46
"744","19.03.2022","county03",6,50
"745","20.03.2022","county03",4,48
"746","21.03.2022","county03",9,50
"747","22.03.2022","county03",14,50
"748","23.03.2022","county03",5,45
"749","24.03.2022","county03",6,40
"750","25.03.2022","county03",4,33
"751","26.03.2022","county03",7,39
"752","27.03.2022","county03",2,39
"753","28.03.2022","county03",8,41
"754","29.03.2022","county03",5,37
"755","30.03.2022","county03",3,29
"756","31.03.2022","county03",3,27
"757","01.04.2022","county03",3,25
"758","02.04.2022","county03",5,30
"759","03.04.2022","county03",1,29
"760","04.04.2022","county03",3,27
"761","05.04.2022","county03",3,25
"762","06.04.2022","county03",2,20
"763","07.04.2022","county03",1,19
"764","08.04.2022","county03",2,17
"765","09.04.2022","county03",2,18
"766","10.04.2022","county03",2,21
"767","11.04.2022","county03",3,21
"768","12.04.2022","county03",3,22
"769","13.04.2022","county03",4,17
"770","14.04.2022","county03",0,15
"771","15.04.2022","county03",2,17
"772","16.04.2022","county03",4,20
"773","17.04.2022","county03",3,22
"774","18.04.2022","county03",1,21
"775","19.04.2022","county03",2,17
"776","20.04.2022","county03",1,13
"777","21.04.2022","county03",1,14
"778","22.04.2022","county03",2,13
"779","23.04.2022","county03",1,14
"780","24.04.2022","county03",2,15
"781","25.04.2022","county03",0,12
"782","26.04.2022","county03",2,11
"783","27.04.2022","county03",1,12
"784","28.04.2022","county03",0,9
"785","29.04.2022","county03",0,6
"786","30.04.2022","county03",1,7
