areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
E12000001,North East,region,2022-12-02,9851
E12000001,North East,region,2022-12-01,9849
E12000001,North East,region,2022-11-30,9847
E12000001,North East,region,2022-11-29,9844
E12000001,North East,region,2022-11-28,9843
E12000001,North East,region,2022-11-27,9841
E12000001,North East,region,2022-11-26,9839
E12000001,North East,region,2022-11-25,9839
E12000001,North East,region,2022-11-24,9838
E12000001,North East,region,2022-11-23,9837
E12000001,North East,region,2022-11-22,9836
E12000001,North East,region,2022-11-21,9834
E12000001,North East,region,2022-11-20,9832
E12000001,North East,region,2022-11-19,9828
E12000001,North East,region,2022-11-18,9823
E12000001,North East,region,2022-11-17,9821
E12000001,North East,region,2022-11-16,9819
E12000001,North East,region,2022-11-15,9817
E12000001,North East,region,2022-11-14,9811
E12000001,North East,region,2022-11-13,9803
E12000001,North East,region,2022-11-12,9799
E12000001,North East,region,2022-11-11,9796
E12000001,North East,region,2022-11-10,9789
E12000001,North East,region,2022-11-09,9788
E12000001,North East,region,2022-11-08,9787
E12000001,North East,region,2022-11-07,9784
E12000001,North East,region,2022-11-06,9781
E12000001,North East,region,2022-11-05,9780
E12000001,North East,region,2022-11-04,9774
E12000001,North East,region,2022-11-03,9772
E12000001,North East,region,2022-11-02,9766
E12000001,North East,region,2022-11-01,9764
E12000001,North East,region,2022-10-31,9759
E12000001,North East,region,2022-10-30,9757
E12000001,North East,region,2022-10-29,9752
E12000001,North East,region,2022-10-28,9746
E12000001,North East,region,2022-10-27,9743
E12000001,North East,region,2022-10-26,9738
E12000001,North East,region,2022-10-25,9734
E12000001,North East,region,2022-10-24,9734
E12000001,North East,region,2022-10-23,9729
E12000001,North East,region,2022-10-22,9723
E12000001,North East,region,2022-10-21,9721
E12000001,North East,region,2022-10-20,9718
E12000001,North East,region,2022-10-19,9717
E12000001,North East,region,2022-10-18,9709
E12000001,North East,region,2022-10-17,9706
E12000001,North East,region,2022-10-16,9696
E12000001,North East,region,2022-10-15,9695
E12000001,North East,region,2022-10-14,9686
E12000001,North East,region,2022-10-13,9680
E12000001,North East,region,2022-10-12,9676
E12000001,North East,region,2022-10-11,9673
E12000001,North East,region,2022-10-10,9668
E12000001,North East,region,2022-10-09,9664
E12000001,North East,region,2022-10-08,9660
E12000001,North East,region,2022-10-07,9656
E12000001,North East,region,2022-10-06,9652
E12000001,North East,region,2022-10-05,9648
E12000001,North East,region,2022-10-04,9642
E12000001,North East,region,2022-10-03,9636
E12000001,North East,region,2022-10-02,9632
E12000001,North East,region,2022-10-01,9631
E12000001,North East,region,2022-09-30,9626
E12000001,North East,region,2022-09-29,9623
E12000001,North East,region,2022-09-28,9618
E12000001,North East,region,2022-09-27,9615
E12000001,North East,region,2022-09-26,9614
E12000001,North East,region,2022-09-25,9612
E12000001,North East,region,2022-09-24,9612
E12000001,North East,region,2022-09-23,9608
E12000001,North East,region,2022-09-22,9606
E12000001,North East,region,2022-09-21,9604
E12000001,North East,region,2022-09-20,9604
E12000001,North East,region,2022-09-19,9600
E12000001,North East,region,2022-09-18,9599
E12000001,North East,region,2022-09-17,9598
E12000001,North East,region,2022-09-16,9598
E12000001,North East,region,2022-09-15,9595
E12000001,North East,region,2022-09-14,9594
E12000001,North East,region,2022-09-13,9591
E12000001,North East,region,2022-09-12,9591
E12000001,North East,region,2022-09-11,9590
E12000001,North East,region,2022-09-10,9589
E12000001,North East,region,2022-09-09,9588
E12000001,North East,region,2022-09-08,9587
E12000001,North East,region,2022-09-07,9583
E12000001,North East,region,2022-09-06,9583
E12000001,North East,region,2022-09-05,9583
E12000001,North East,region,2022-09-04,9583
E12000001,North East,region,2022-09-03,9582
E12000001,North East,region,2022-09-02,9582
E12000001,North East,region,2022-09-01,9580
E12000001,North East,region,2022-08-31,9578
E12000001,North East,region,2022-08-30,9575
E12000001,North East,region,2022-08-29,9574
E12000001,North East,region,2022-08-28,9571
E12000001,North East,region,2022-08-27,9567
E12000001,North East,region,2022-08-26,9564
E12000001,North East,region,2022-08-25,9562
E12000001,North East,region,2022-08-24,9561
E12000001,North East,region,2022-08-23,9560
E12000001,North East,region,2022-08-22,9553
E12000001,North East,region,2022-08-21,9551
E12000001,North East,region,2022-08-20,9547
E12000001,North East,region,2022-08-19,9545
E12000001,North East,region,2022-08-18,9544
E12000001,North East,region,2022-08-17,9539
E12000001,North East,region,2022-08-16,9532
E12000001,North East,region,2022-08-15,9530
E12000001,North East,region,2022-08-14,9529
E12000001,North East,region,2022-08-13,9522
E12000001,North East,region,2022-08-12,9520
E12000001,North East,region,2022-08-11,9515
E12000001,North East,region,2022-08-10,9512
E12000001,North East,region,2022-08-09,9506
E12000001,North East,region,2022-08-08,9504
E12000001,North East,region,2022-08-07,9498
E12000001,North East,region,2022-08-06,9494
E12000001,North East,region,2022-08-05,9492
E12000001,North East,region,2022-08-04,9487
E12000001,North East,region,2022-08-03,9482
E12000001,North East,region,2022-08-02,9473
E12000001,North East,region,2022-08-01,9466
E12000001,North East,region,2022-07-31,9458
E12000001,North East,region,2022-07-30,9452
E12000001,North East,region,2022-07-29,9450
E12000001,North East,region,2022-07-28,9445
E12000001,North East,region,2022-07-27,9442
E12000001,North East,region,2022-07-26,9438
E12000001,North East,region,2022-07-25,9433
E12000001,North East,region,2022-07-24,9428
E12000001,North East,region,2022-07-23,9423
E12000001,North East,region,2022-07-22,9417
E12000001,North East,region,2022-07-21,9412
E12000001,North East,region,2022-07-20,9403
E12000001,North East,region,2022-07-19,9393
E12000001,North East,region,2022-07-18,9384
E12000001,North East,region,2022-07-17,9381
E12000001,North East,region,2022-07-16,9375
E12000001,North East,region,2022-07-15,9373
E12000001,North East,region,2022-07-14,9369
E12000001,North East,region,2022-07-13,9365
E12000001,North East,region,2022-07-12,9360
E12000001,North East,region,2022-07-11,9355
E12000001,North East,region,2022-07-10,9353
E12000001,North East,region,2022-07-09,9350
E12000001,North East,region,2022-07-08,9345
E12000001,North East,region,2022-07-07,9342
E12000001,North East,region,2022-07-06,9336
E12000001,North East,region,2022-07-05,9328
E12000001,North East,region,2022-07-04,9323
E12000001,North East,region,2022-07-03,9320
E12000001,North East,region,2022-07-02,9316
E12000001,North East,region,2022-07-01,9311
E12000001,North East,region,2022-06-30,9309
E12000001,North East,region,2022-06-29,9306
E12000001,North East,region,2022-06-28,9302
E12000001,North East,region,2022-06-27,9297
E12000001,North East,region,2022-06-26,9295
E12000001,North East,region,2022-06-25,9294
E12000001,North East,region,2022-06-24,9292
E12000001,North East,region,2022-06-23,9292
E12000001,North East,region,2022-06-22,9291
E12000001,North East,region,2022-06-21,9288
E12000001,North East,region,2022-06-20,9284
E12000001,North East,region,2022-06-19,9283
E12000001,North East,region,2022-06-18,9283
E12000001,North East,region,2022-06-17,9280
E12000001,North East,region,2022-06-16,9279
E12000001,North East,region,2022-06-15,9277
E12000001,North East,region,2022-06-14,9275
E12000001,North East,region,2022-06-13,9274
E12000001,North East,region,2022-06-12,9271
E12000001,North East,region,2022-06-11,9269
E12000001,North East,region,2022-06-10,9266
E12000001,North East,region,2022-06-09,9264
E12000001,North East,region,2022-06-08,9262
E12000001,North East,region,2022-06-07,9260
E12000001,North East,region,2022-06-06,9255
E12000001,North East,region,2022-06-05,9255
E12000001,North East,region,2022-06-04,9253
E12000001,North East,region,2022-06-03,9250
E12000001,North East,region,2022-06-02,9247
E12000001,North East,region,2022-06-01,9246
E12000001,North East,region,2022-05-31,9245
E12000001,North East,region,2022-05-30,9244
E12000001,North East,region,2022-05-29,9239
E12000001,North East,region,2022-05-28,9239
E12000001,North East,region,2022-05-27,9237
E12000001,North East,region,2022-05-26,9235
E12000001,North East,region,2022-05-25,9233
E12000001,North East,region,2022-05-24,9233
E12000001,North East,region,2022-05-23,9231
E12000001,North East,region,2022-05-22,9229
E12000001,North East,region,2022-05-21,9228
E12000001,North East,region,2022-05-20,9224
E12000001,North East,region,2022-05-19,9219
E12000001,North East,region,2022-05-18,9215
E12000001,North East,region,2022-05-17,9214
E12000001,North East,region,2022-05-16,9210
E12000001,North East,region,2022-05-15,9208
E12000001,North East,region,2022-05-14,9203
E12000001,North East,region,2022-05-13,9202
E12000001,North East,region,2022-05-12,9198
E12000001,North East,region,2022-05-11,9194
E12000001,North East,region,2022-05-10,9189
E12000001,North East,region,2022-05-09,9187
E12000001,North East,region,2022-05-08,9181
E12000001,North East,region,2022-05-07,9175
E12000001,North East,region,2022-05-06,9170
E12000001,North East,region,2022-05-05,9165
E12000001,North East,region,2022-05-04,9159
E12000001,North East,region,2022-05-03,9157
E12000001,North East,region,2022-05-02,9150
E12000001,North East,region,2022-05-01,9146
E12000001,North East,region,2022-04-30,9142
E12000001,North East,region,2022-04-29,9140
E12000001,North East,region,2022-04-28,9136
E12000001,North East,region,2022-04-27,9127
E12000001,North East,region,2022-04-26,9119
E12000001,North East,region,2022-04-25,9111
E12000001,North East,region,2022-04-24,9105
E12000001,North East,region,2022-04-23,9104
E12000001,North East,region,2022-04-22,9099
E12000001,North East,region,2022-04-21,9095
E12000001,North East,region,2022-04-20,9088
E12000001,North East,region,2022-04-19,9083
E12000001,North East,region,2022-04-18,9080
E12000001,North East,region,2022-04-17,9072
E12000001,North East,region,2022-04-16,9065
E12000001,North East,region,2022-04-15,9056
E12000001,North East,region,2022-04-14,9047
E12000001,North East,region,2022-04-13,9037
E12000001,North East,region,2022-04-12,9029
E12000001,North East,region,2022-04-11,9022
E12000001,North East,region,2022-04-10,9012
E12000001,North East,region,2022-04-09,9004
E12000001,North East,region,2022-04-08,8997
E12000001,North East,region,2022-04-07,8985
E12000001,North East,region,2022-04-06,8980
E12000001,North East,region,2022-04-05,8974
E12000001,North East,region,2022-04-04,8961
E12000001,North East,region,2022-04-03,8956
E12000001,North East,region,2022-04-02,8946
E12000001,North East,region,2022-04-01,8938
E12000001,North East,region,2022-03-31,8932
E12000001,North East,region,2022-03-30,8925
E12000001,North East,region,2022-03-29,8918
E12000001,North East,region,2022-03-28,8912
E12000001,North East,region,2022-03-27,8906
E12000001,North East,region,2022-03-26,8899
E12000001,North East,region,2022-03-25,8896
E12000001,North East,region,2022-03-24,8892
E12000001,North East,region,2022-03-23,8886
E12000001,North East,region,2022-03-22,8882
E12000001,North East,region,2022-03-21,8876
E12000001,North East,region,2022-03-20,8870
E12000001,North East,region,2022-03-19,8868
E12000001,North East,region,2022-03-18,8865
E12000001,North East,region,2022-03-17,8860
E12000001,North East,region,2022-03-16,8858
E12000001,North East,region,2022-03-15,8852
E12000001,North East,region,2022-03-14,8852
E12000001,North East,region,2022-03-13,8849
E12000001,North East,region,2022-03-12,8845
E12000001,North East,region,2022-03-11,8843
E12000001,North East,region,2022-03-10,8842
E12000001,North East,region,2022-03-09,8839
E12000001,North East,region,2022-03-08,8836
E12000001,North East,region,2022-03-07,8832
E12000001,North East,region,2022-03-06,8829
E12000001,North East,region,2022-03-05,8827
E12000001,North East,region,2022-03-04,8820
E12000001,North East,region,2022-03-03,8815
E12000001,North East,region,2022-03-02,8811
E12000001,North East,region,2022-03-01,8802
E12000001,North East,region,2022-02-28,8797
E12000001,North East,region,2022-02-27,8795
E12000001,North East,region,2022-02-26,8789
E12000001,North East,region,2022-02-25,8786
E12000001,North East,region,2022-02-24,8781
E12000001,North East,region,2022-02-23,8777
E12000001,North East,region,2022-02-22,8776
E12000001,North East,region,2022-02-21,8772
E12000001,North East,region,2022-02-20,8769
E12000001,North East,region,2022-02-19,8764
E12000001,North East,region,2022-02-18,8761
E12000001,North East,region,2022-02-17,8755
E12000001,North East,region,2022-02-16,8748
E12000001,North East,region,2022-02-15,8741
E12000001,North East,region,2022-02-14,8739
E12000001,North East,region,2022-02-13,8732
E12000001,North East,region,2022-02-12,8726
E12000001,North East,region,2022-02-11,8719
E12000001,North East,region,2022-02-10,8713
E12000001,North East,region,2022-02-09,8701
E12000001,North East,region,2022-02-08,8692
E12000001,North East,region,2022-02-07,8682
E12000001,North East,region,2022-02-06,8675
E12000001,North East,region,2022-02-05,8668
E12000001,North East,region,2022-02-04,8658
E12000001,North East,region,2022-02-03,8647
E12000001,North East,region,2022-02-02,8634
E12000001,North East,region,2022-02-01,8626
E12000001,North East,region,2022-01-31,8607
E12000001,North East,region,2022-01-30,8594
E12000001,North East,region,2022-01-29,8583
E12000001,North East,region,2022-01-28,8574
E12000001,North East,region,2022-01-27,8556
E12000001,North East,region,2022-01-26,8544
E12000001,North East,region,2022-01-25,8533
E12000001,North East,region,2022-01-24,8525
E12000001,North East,region,2022-01-23,8510
E12000001,North East,region,2022-01-22,8495
E12000001,North East,region,2022-01-21,8478
E12000001,North East,region,2022-01-20,8462
E12000001,North East,region,2022-01-19,8444
E12000001,North East,region,2022-01-18,8433
E12000001,North East,region,2022-01-17,8415
E12000001,North East,region,2022-01-16,8403
E12000001,North East,region,2022-01-15,8385
E12000001,North East,region,2022-01-14,8374
E12000001,North East,region,2022-01-13,8361
E12000001,North East,region,2022-01-12,8353
E12000001,North East,region,2022-01-11,8335
E12000001,North East,region,2022-01-10,8327
E12000001,North East,region,2022-01-09,8315
E12000001,North East,region,2022-01-08,8307
E12000001,North East,region,2022-01-07,8298
E12000001,North East,region,2022-01-06,8292
E12000001,North East,region,2022-01-05,8285
E12000001,North East,region,2022-01-04,8278
E12000001,North East,region,2022-01-03,8271
E12000001,North East,region,2022-01-02,8263
E12000001,North East,region,2022-01-01,8261
E12000001,North East,region,2021-12-31,8256
E12000001,North East,region,2021-12-30,8250
E12000001,North East,region,2021-12-29,8242
E12000001,North East,region,2021-12-28,8239
E12000001,North East,region,2021-12-27,8232
E12000001,North East,region,2021-12-26,8228
E12000001,North East,region,2021-12-25,8225
E12000001,North East,region,2021-12-24,8218
E12000001,North East,region,2021-12-23,8216
E12000001,North East,region,2021-12-22,8210
E12000001,North East,region,2021-12-21,8202
E12000001,North East,region,2021-12-20,8191
E12000001,North East,region,2021-12-19,8183
E12000001,North East,region,2021-12-18,8178
E12000001,North East,region,2021-12-17,8170
E12000001,North East,region,2021-12-16,8165
E12000001,North East,region,2021-12-15,8162
E12000001,North East,region,2021-12-14,8157
E12000001,North East,region,2021-12-13,8153
E12000001,North East,region,2021-12-12,8148
E12000001,North East,region,2021-12-11,8141
E12000001,North East,region,2021-12-10,8135
E12000001,North East,region,2021-12-09,8131
E12000001,North East,region,2021-12-08,8123
E12000001,North East,region,2021-12-07,8119
E12000001,North East,region,2021-12-06,8112
E12000001,North East,region,2021-12-05,8109
E12000001,North East,region,2021-12-04,8105
E12000001,North East,region,2021-12-03,8098
E12000001,North East,region,2021-12-02,8094
E12000001,North East,region,2021-12-01,8089
E12000001,North East,region,2021-11-30,8077
E12000001,North East,region,2021-11-29,8072
E12000001,North East,region,2021-11-28,8067
E12000001,North East,region,2021-11-27,8061
E12000001,North East,region,2021-11-26,8056
E12000001,North East,region,2021-11-25,8051
E12000001,North East,region,2021-11-24,8047
E12000001,North East,region,2021-11-23,8040
E12000001,North East,region,2021-11-22,8035
E12000001,North East,region,2021-11-21,8026
E12000001,North East,region,2021-11-20,8022
E12000001,North East,region,2021-11-19,8010
E12000001,North East,region,2021-11-18,8005
E12000001,North East,region,2021-11-17,8001
E12000001,North East,region,2021-11-16,7997
E12000001,North East,region,2021-11-15,7990
E12000001,North East,region,2021-11-14,7984
E12000001,North East,region,2021-11-13,7980
E12000001,North East,region,2021-11-12,7972
E12000001,North East,region,2021-11-11,7965
E12000001,North East,region,2021-11-10,7952
E12000001,North East,region,2021-11-09,7946
